Onset,Offset
9.973,10.02
10.107,10.156
10.231,10.282
10.388,10.422
10.731,10.802
43.985,44.003
44.028,44.073
44.137,44.199
44.281,44.336
68.001,68.045
68.108,68.167
68.235,68.298
68.368,68.433
82.204,82.25
82.312,82.373
82.446,82.516
82.653,82.691
82.717,82.757
85.407,85.415
85.509,85.519
85.566,85.611
85.769,85.781
92.223,92.259
92.382,92.437
92.498,92.556
92.565,92.583
92.621,92.692
106.815,106.868
106.939,106.993
107.07,107.126
107.163,107.199
108.817,108.834
108.861,108.911
108.978,109.036
109.109,109.174
109.25,109.327
109.394,109.468
109.544,109.621
109.688,109.776
109.845,109.928
109.994,110.07
110.141,110.21
110.28,110.345
110.414,110.474
110.544,110.602
110.675,110.738
110.82,110.887
110.956,111.017
111.092,111.154
111.231,111.296
111.371,111.441
111.515,111.611
111.683,111.775
111.839,112.112
112.17,112.253
112.32,112.38
112.449,112.513
112.589,112.656
112.738,112.816
112.874,112.935
113.007,113.07
113.143,113.217
113.28,113.343
113.43,113.492
113.564,113.637
113.703,113.77
113.861,113.936
114.004,114.075
114.163,114.262
114.277,114.305
114.339,114.457
114.505,114.586
114.65,114.719
114.782,114.861
114.937,115.008
115.084,115.152
115.242,115.314
115.378,115.443
115.513,115.578
115.647,115.719
115.793,115.863
115.937,116.002
116.074,116.141
116.214,116.278
116.348,116.421
116.492,116.56
116.647,116.717
116.782,116.845
116.916,116.978
117.052,117.117
117.184,117.253
117.325,117.392
117.465,117.528
117.619,117.684
117.746,117.808
117.881,117.943
118.022,118.086
118.161,118.227
118.304,118.374
118.448,118.52
118.593,118.678
118.752,118.849
118.936,119.034
119.102,119.229
119.282,119.412
119.435,119.504
119.571,119.645
119.714,119.78
119.857,119.92
120.013,120.076
120.142,120.208
120.279,120.343
120.415,120.479
120.555,120.618
120.695,120.757
120.828,120.898
120.972,121.036
121.111,121.172
121.249,121.312
121.386,121.448
121.552,121.607
121.675,121.74
121.807,121.879
121.952,122.017
122.095,122.158
122.238,122.3
122.379,122.439
122.52,122.584
122.663,122.733
122.805,122.877
122.952,123.017
123.094,123.16
123.254,123.312
123.388,123.448
123.521,123.596
123.666,123.731
123.81,123.872
123.958,123.999
127.195,127.229
127.381,127.45
127.526,127.591
127.672,127.721
139.485,139.544
139.606,139.673
139.742,139.815
139.88,139.947
140.01,140.077
140.144,140.22
166.096,166.147
166.203,166.27
166.333,166.406
166.467,166.539
166.61,166.664
168.258,168.289
168.344,168.353
168.399,168.445
168.499,168.565
168.632,168.71
168.783,168.853
168.915,168.982
169.048,169.112
169.179,169.236
169.305,169.362
169.43,169.491
169.56,169.621
169.687,169.749
169.817,169.878
169.951,170.016
170.089,170.156
170.227,170.296
170.364,170.432
170.503,170.586
170.663,170.754
170.832,170.929
170.997,171.082
171.147,171.222
171.293,171.418
171.46,171.539
171.615,171.695
171.747,171.804
171.878,171.961
172.049,172.134
172.197,172.279
172.367,172.481
172.539,172.641
172.72,172.801
172.862,172.917
172.997,173.059
173.138,173.221
173.292,173.378
173.443,173.524
173.587,173.651
173.715,173.784
173.848,173.921
173.983,174.05
174.128,174.2
174.256,174.317
174.383,174.441
174.511,174.57
174.639,174.703
174.774,174.837
174.915,174.985
175.052,175.118
175.189,175.263
175.33,175.411
175.483,175.58
175.646,175.766
175.768,175.8
175.855,175.947
176.02,176.095
176.161,176.226
176.297,176.366
176.459,176.523
176.581,176.646
176.717,176.779
176.852,176.918
178.595,178.66
178.723,178.801
178.867,178.95
179.015,179.108
179.181,179.267
179.345,179.386
193.914,193.971
194.027,194.098
194.156,194.22
194.287,194.345
194.412,194.477
194.545,194.602
194.672,194.736
194.809,194.872
194.945,195.015
195.085,195.146
195.215,195.289
195.36,195.421
195.5,195.577
195.646,195.71
195.782,195.86
195.935,196.008
196.08,196.165
196.253,196.327
196.393,196.474
196.566,196.635
196.708,196.794
196.967,197.019
197.095,197.182
197.254,197.329
197.401,197.471
197.537,197.613
197.682,197.76
197.827,197.902
197.96,198.039
198.097,198.175
198.232,198.312
198.365,198.434
198.502,198.579
198.651,198.792
198.821,198.973
199.006,199.133
199.166,199.251
199.324,199.394
199.459,199.536
199.615,199.678
199.769,199.871
199.948,200.031
200.106,200.203
200.272,200.355
200.427,200.501
200.57,200.642
200.708,200.786
200.846,200.927
200.988,201.067
201.124,201.199
201.266,201.339
201.406,201.456
201.67,201.734
201.797,201.869
201.929,202.001
202.064,202.135
202.205,202.274
202.343,202.413
202.482,202.551
202.623,202.695
202.763,202.837
202.909,202.982
203.048,203.128
203.195,203.291
203.358,203.463
203.538,203.638
203.691,203.766
203.866,203.951
203.997,204.085
204.166,204.244
204.309,204.378
204.454,204.528
204.623,204.687
204.741,204.812
204.876,204.944
205.015,205.083
205.152,205.217
205.285,205.35
205.425,205.487
205.561,205.622
212.782,212.843
212.901,212.978
213.042,213.112
213.18,213.249
213.444,213.508
213.579,213.653
213.721,213.798
213.88,213.963
214.035,214.105
214.341,214.397
214.466,214.549
214.621,214.711
214.792,214.877
215.324,215.397
215.465,215.553
215.617,215.703
215.778,215.852
215.919,215.984
216.049,216.121
216.191,216.265
216.332,216.408
216.469,216.549
216.622,216.686
216.753,216.822
216.89,216.961
217.029,217.112
217.167,217.241
217.314,217.399
217.402,217.436
217.477,217.581
217.642,217.789
217.816,217.921
217.992,218.086
218.161,218.248
218.318,218.403
218.481,218.551
218.622,218.736
218.809,218.925
218.981,219.055
219.118,219.188
219.27,219.362
219.442,219.517
219.582,219.672
219.719,219.792
219.854,219.941
219.995,220.071
220.136,220.219
220.277,220.353
220.423,220.5
220.567,220.65
220.724,220.83
220.911,221.011
221.065,221.17
221.217,221.287
221.347,221.416
221.489,221.557
221.634,221.704
221.794,221.869
221.933,222.007
222.075,222.186
222.198,222.23
222.258,222.423
222.447,222.568
222.631,222.708
222.785,222.843
222.913,222.994
223.064,223.137
223.212,223.294
223.365,223.439
223.511,223.568
223.657,223.72
223.79,223.854
224.195,224.273
224.329,224.404
224.469,224.543
224.613,224.697
224.768,224.858
224.922,225.052
225.114,225.234
225.307,225.404
225.47,225.547
225.62,225.69
225.762,225.835
225.906,225.973
226.05,226.116
226.193,226.264
226.333,226.412
226.489,226.578
226.638,226.716
226.78,226.843
226.917,226.978
227.057,227.145
227.199,227.293
227.358,227.465
227.48,227.502
227.536,227.659
227.74,227.843
227.851,228.205
228.272,228.361
228.422,228.499
228.567,228.643
228.71,228.79
228.873,228.947
229.013,229.076
229.15,229.219
229.292,229.367
229.44,229.493
255.025,255.072
255.13,255.19
255.25,255.324
255.387,255.457
255.519,255.592
255.656,255.723
255.791,255.855
255.923,255.995
256.057,256.133
256.201,256.265
256.331,256.387
256.456,256.512
256.582,256.641
256.712,256.773
256.844,256.906
256.974,257.041
257.107,257.183
257.249,257.319
257.388,257.464
257.53,257.6
257.675,257.756
257.819,257.875
257.944,258.013
258.083,258.151
258.221,258.289
258.363,258.432
258.502,258.574
258.645,258.712
258.78,258.861
258.928,259.011
259.074,259.142
259.213,259.288
259.358,259.43
259.506,259.587
259.65,259.706
259.774,259.839
259.915,259.979
260.049,260.119
260.193,260.257
260.327,260.402
260.473,260.55
260.63,260.705
260.778,260.869
260.954,261.026
261.098,261.19
261.268,261.341
261.417,261.511
261.588,261.667
261.735,261.822
261.895,261.973
262.04,262.111
262.189,262.244
262.315,262.379
262.453,262.517
262.59,262.655
262.726,262.787
262.856,262.922
262.989,263.048
263.118,263.173
263.244,263.309
263.369,263.439
263.501,263.567
263.635,263.695
263.765,263.83
263.9,263.961
264.035,264.086
264.299,264.365
264.43,264.493
264.567,264.625
264.701,264.769
264.836,264.898
264.971,265.036
265.122,265.176
265.25,265.313
265.39,265.453
265.512,265.585
265.649,265.715
265.787,265.849
265.925,265.984
266.062,266.117
266.195,266.253
266.333,266.392
266.456,266.529
266.6,266.666
266.739,266.799
266.874,266.934
267.005,267.069
267.141,267.209
267.283,267.349
267.423,267.49
267.564,267.63
267.718,267.777
267.849,267.913
267.985,268.053
268.122,268.191
268.264,268.333
268.404,268.471
268.54,268.61
268.683,268.755
268.837,268.871
268.993,269.023
269.101,269.178
269.242,269.311
269.395,269.427
269.52,269.587
269.658,269.73
269.799,269.88
269.944,270.034
270.114,270.222
270.287,270.387
270.462,270.559
270.647,270.739
270.803,270.885
270.955,271.049
278.117,278.137
278.165,278.229
278.287,278.358
278.429,278.534
278.577,278.709
278.73,278.822
278.895,278.982
278.995,279.02
279.062,279.144
279.176,279.367
279.431,279.516
279.583,279.661
279.73,279.792
279.859,279.944
280.021,280.093
280.159,280.23
280.311,280.377
280.449,280.525
280.605,280.679
280.753,280.879
280.921,281.031
281.066,281.142
281.196,281.259
281.327,281.393
281.462,281.525
281.596,281.663
281.732,281.805
281.87,281.938
282.004,282.076
282.142,282.215
282.28,282.38
282.434,282.539
282.612,282.696
282.755,282.826
282.889,282.967
283.044,283.125
283.187,283.258
283.32,283.386
283.453,283.524
283.592,283.661
283.731,283.798
283.865,283.934
284.004,284.077
284.16,284.238
284.306,284.381
284.449,284.527
284.586,284.661
284.732,284.802
284.884,284.968
285.049,285.125
285.199,285.29
285.376,285.443
285.511,285.575
285.655,285.728
285.798,285.869
285.94,286.01
286.081,286.149
286.229,286.32
286.384,286.454
286.526,286.603
286.669,286.755
286.822,286.893
286.963,287.034
287.106,287.181
287.253,287.32
287.396,287.456
287.548,287.62
287.693,287.753
287.826,287.904
287.979,288.066
288.146,288.216
288.284,288.356
288.451,288.523
288.577,288.649
288.718,288.783
288.854,288.923
288.99,289.057
289.13,289.199
289.268,289.342
289.407,289.481
289.548,289.631
289.705,289.793
289.868,289.947
290.015,290.093
290.158,290.232
290.315,290.393
290.46,290.53
290.605,290.668
292.482,292.551
292.611,292.682
292.75,292.836
292.846,292.869
292.917,293.011
293.096,293.179
293.245,293.332
293.408,293.49
293.557,293.647
293.739,293.831
293.893,293.964
294.036,294.107
294.187,294.27
294.358,294.474
294.56,294.647
294.706,294.775
294.847,294.909
294.983,295.066
295.149,295.239
295.304,295.399
295.47,295.547
295.628,295.65
329.331,329.386
329.445,329.507
329.572,329.643
329.706,329.765
329.84,329.882
329.944,330.01
330.073,330.146
330.211,330.28
330.342,330.402
330.468,330.524
330.59,330.647
330.713,330.771
330.839,330.901
330.966,331.03
331.095,331.162
331.227,331.303
331.367,331.461
331.53,331.614
331.662,331.75
331.826,331.908
331.968,332.037
332.106,332.169
332.236,332.302
332.375,332.438
332.506,332.573
332.64,332.702
332.774,332.842
332.92,332.991
333.055,333.117
333.18,333.25
333.321,333.389
333.452,333.526
333.595,333.666
333.732,333.796
333.862,333.928
333.988,334.06
334.128,334.195
334.264,334.327
334.408,334.464
334.531,334.581
334.827,334.865
334.932,334.998
335.066,335.136
335.202,335.269
335.337,335.411
335.482,335.563
335.637,335.712
335.792,335.872
335.898,336.084
336.136,336.225
336.304,336.38
336.446,336.498
336.578,336.641
336.733,336.814
336.897,337.011
337.072,337.165
337.244,337.317
337.394,337.501
337.589,337.674
337.761,337.894
337.945,338.03
338.093,338.169
338.227,338.3
338.367,338.44
338.508,338.574
338.639,338.708
338.774,338.839
338.909,338.975
339.042,339.101
339.17,339.225
339.297,339.358
339.422,339.491
339.55,339.629
339.682,339.767
339.825,339.896
339.96,340.025
340.095,340.163
340.242,340.328
340.383,340.471
340.529,340.623
340.687,340.816
340.858,340.966
341.024,341.124
341.186,341.264
341.328,341.406
341.47,341.541
341.604,341.671
341.874,341.916
341.987,342.064
342.119,342.191
342.256,342.318
342.388,342.45
342.532,342.586
342.656,342.72
342.784,342.85
342.916,342.977
343.052,343.111
343.459,343.514
343.583,343.652
343.718,343.784
343.852,343.918
343.986,344.046
344.119,344.183
344.251,344.314
344.386,344.445
344.52,344.58
344.652,344.715
344.798,344.857
344.927,344.99
345.059,345.123
345.193,345.262
345.326,345.399
345.464,345.532
345.601,345.664
345.74,345.797
345.872,345.94
346.005,346.082
346.149,346.217
347.268,347.334
347.391,347.463
347.528,347.597
347.67,347.727
384.212,384.269
384.318,384.382
384.447,384.554
384.603,384.706
384.769,384.82
384.875,384.944
385.001,385.079
385.133,385.198
385.258,385.315
385.377,385.436
385.499,385.56
385.62,385.677
385.743,385.798
385.861,385.92
385.984,386.05
386.11,386.179
386.234,386.305
386.362,386.428
386.496,386.572
386.634,386.724
386.799,386.878
386.93,386.994
387.05,387.115
387.177,387.239
387.304,387.371
387.435,387.501
387.565,387.634
387.699,387.769
387.836,387.907
387.968,388.032
388.097,388.16
388.231,388.295
388.374,388.452
388.52,388.637
388.694,388.77
388.832,388.913
388.975,389.041
389.122,389.185
389.242,389.308
389.372,389.437
389.508,389.57
389.636,389.699
389.761,389.829
389.892,389.959
390.023,390.096
390.157,390.234
390.293,390.371
390.427,390.501
390.563,390.629
390.694,390.758
390.825,390.892
390.963,391.046
391.125,391.253
391.293,391.391
391.442,391.515
391.569,391.64
391.703,391.777
391.831,391.896
391.957,392.016
392.086,392.147
392.216,392.275
392.344,392.397
392.747,392.816
392.861,392.931
392.991,393.057
393.125,393.181
393.255,393.313
393.387,393.437
393.515,393.572
393.646,393.703
393.774,393.832
393.908,393.964
394.036,394.094
394.167,394.223
394.303,394.348
394.564,394.628
394.693,394.756
394.834,394.892
394.959,395.024
395.09,395.154
395.225,395.285
395.358,395.419
395.486,395.545
395.615,395.673
395.746,395.807
395.88,395.942
396.011,396.074
396.146,396.21
396.298,396.343
396.416,396.482
396.548,396.612
396.686,396.742
396.818,396.876
396.949,397.01
397.085,397.145
397.221,397.278
397.353,397.41
397.498,397.555
397.622,397.689
397.761,397.826
397.916,397.974
398.049,398.115
398.183,398.252
398.32,398.384
398.455,398.519
398.586,398.654
398.723,398.787
398.861,398.919
398.991,399.053
399.129,399.19
399.266,399.328
399.402,399.466
399.539,399.603
399.677,399.74
399.824,399.884
399.956,400.025
400.091,400.159
400.226,400.292
400.362,400.424
400.497,400.559
400.632,400.692
400.766,400.829
400.902,400.968
401.042,401.102
401.179,401.243
401.332,401.386
401.46,401.523
401.595,401.658
401.732,401.792
401.866,401.932
401.999,402.063
402.135,402.198
402.275,402.345
402.413,402.472
402.822,402.895
402.963,403.032
403.109,403.175
403.249,403.311
403.384,403.443
403.518,403.574
403.65,403.718
403.795,403.855
403.937,403.991
404.073,404.129
404.21,404.253
404.372,404.402
404.496,404.565
404.641,404.694
404.774,404.84
404.924,404.978
405.057,405.112
405.204,405.26
405.332,405.403
405.479,405.547
405.638,405.699
405.771,405.831
405.908,405.967
406.049,406.114
406.194,406.26
406.356,406.419
406.492,406.56
406.636,406.721
406.789,406.889
406.968,407.062
407.132,407.211
407.28,407.348
407.421,407.48
408.146,408.21
408.269,408.343
408.416,408.486
408.564,408.637
408.708,408.796
408.867,408.969
409.06,409.16
409.233,409.291
409.358,409.423
409.495,409.557
409.628,409.694
409.767,409.834
409.908,409.98
410.056,410.122
410.212,410.272
410.342,410.404
410.477,410.539
410.613,410.669
410.747,410.813
410.891,410.953
411.025,411.093
411.166,411.232
411.304,411.373
411.459,411.524
411.595,411.655
411.738,411.786
412.008,412.086
412.161,412.242
412.307,412.398
412.475,412.575
412.659,412.762
412.816,412.888
412.952,413.018
413.089,413.159
413.229,413.298
413.384,413.444
413.509,413.576
413.647,413.708
413.784,413.845
413.918,413.998
414.064,414.163
414.234,414.33
414.412,414.504
414.562,414.631
414.699,414.767
414.843,414.909
414.981,415.051
415.124,415.199
415.288,415.38
415.45,415.527
415.599,415.665
415.737,415.8
415.872,415.948
416.016,416.087
416.158,416.226
416.296,416.367
416.439,416.509
416.606,416.662
416.733,416.789
416.868,416.923
417.001,417.058
417.132,417.2
417.269,417.333
417.405,417.467
417.545,417.597
417.698,417.758
417.824,417.891
417.961,418.029
418.101,418.166
418.242,418.303
418.379,418.436
418.535,418.584
418.662,418.718
418.792,418.854
418.925,418.993
419.065,419.138
419.209,419.282
419.354,419.426
419.5,419.575
419.664,419.737
419.814,419.88
419.956,420.019
420.1,420.166
420.243,420.314
420.393,420.459
420.54,420.606
420.684,420.755
420.828,420.908
420.976,421.051
421.135,421.211
421.282,421.352
421.413,421.496
421.564,421.633
421.709,421.773
421.845,421.922
421.99,422.065
422.161,422.23
422.553,422.615
422.689,422.768
422.826,422.902
422.969,423.038
423.124,423.19
423.253,423.322
423.392,423.452
423.524,423.606
423.674,423.761
423.83,423.915
423.984,424.071
424.143,424.238
424.326,424.519
424.533,424.637
424.715,424.83
424.882,424.952
425.027,425.105
425.175,425.273
425.367,425.46
425.541,425.614
425.689,425.747
425.83,425.898
425.999,426.083
426.159,426.25
426.336,426.417
426.49,426.576
426.663,426.743
426.827,426.922
426.996,427.071
427.146,427.243
427.334,427.429
427.499,427.591
427.666,427.734
427.809,427.92
427.968,428.059
428.129,428.212
428.281,428.359
428.438,428.533
428.584,428.657
428.718,428.804
428.851,428.918
428.975,429.058
429.114,429.191
429.254,429.329
429.392,429.463
431.853,431.931
431.996,432.07
432.141,432.205
433.597,433.671
433.75,433.835
433.904,433.993
434.066,434.147
434.166,434.179
434.224,434.318
434.406,434.484
434.557,434.636
434.715,434.8
434.875,434.958
435.034,435.126
435.189,435.273
435.356,435.437
435.507,435.574
435.647,435.73
435.789,435.862
435.931,436.009
436.075,436.162
436.237,436.363
436.423,436.558
436.61,436.7
436.764,436.851
436.939,437.033
437.097,437.172
437.243,437.318
437.385,437.46
437.534,437.603
437.68,437.74
437.813,437.897
437.963,438.056
438.138,438.243
438.307,438.397
438.463,438.544
438.611,438.689
438.762,438.83
438.903,438.977
439.055,439.136
439.208,439.306
439.384,439.481
439.537,439.608
439.679,439.745
439.817,439.888
439.96,440.032
440.104,440.178
440.243,440.324
440.39,440.467
440.535,440.597
440.68,440.741
440.806,440.877
440.945,441.012
441.077,441.148
441.213,441.274
441.346,441.408
441.479,441.541
441.614,441.679
441.749,441.815
441.903,441.966
442.034,442.091
442.164,442.221
442.294,442.352
442.43,442.487
442.564,442.623
442.717,442.778
442.851,442.917
442.988,443.056
443.123,443.195
443.265,443.341
443.409,443.469
443.565,443.614
443.683,443.765
443.834,443.925
444.002,444.1
444.168,444.285
444.34,444.435
444.508,444.588
444.651,444.727
444.815,444.911
444.978,445.048
445.116,445.185
445.276,445.328
445.393,445.453
445.522,445.588
445.659,445.726
445.791,445.855
445.924,445.982
446.056,446.115
446.188,446.252
446.322,446.388
446.457,446.527
446.612,446.671
446.741,446.799
446.871,446.936
447.004,447.072
447.143,447.215
447.284,447.349
447.421,447.487
447.57,447.622
447.707,447.763
447.846,447.913
447.985,448.056
448.128,448.191
448.446,448.504
448.566,448.645
448.711,448.796
448.868,448.945
449.651,449.704
449.758,449.84
449.908,449.985
450.065,450.147
450.166,450.177
450.224,450.337
450.405,450.503
450.584,450.66
450.736,450.816
450.888,450.98
451.073,451.166
451.249,451.35
451.43,451.505
451.523,451.548
451.592,451.717
451.79,451.88
451.956,452.037
452.126,452.259
452.319,452.421
452.476,452.547
452.621,452.698
452.773,452.847
452.927,452.999
453.068,453.156
453.222,453.314
454.643,454.714
454.783,454.864
454.935,455.024
